MMM,-0.21921461458326297
ABT,-0.08766797626159839
ABBV,-0.12785899058533656
ABMD,-0.14907083153503764
ACN,-0.2216784670007219
ATVI,0.001009769362727564
ADBE,-0.035080826791770825
AMD,-0.008286111315862876
AAP,-0.4156866183267688
AES,-0.3117392483541619
AFL,-0.349290899317509
A,-0.15833696672740716
APD,-0.1450122789601832
AKAM,0.059157221262819526
ALK,-0.5773954955723899
ALB,-0.22396717169041802
ARE,-0.14561769915285883
ALXN,-0.1697642193745139
ALGN,-0.37661270211723064
ALLE,-0.2590002295237398
LNT,-0.11179446460068643
ALL,-0.18023239528525348
GOOGL,-0.1324782639954203
GOOG,-0.13029719704571063
MO,-0.20389472411966525
AMZN,0.05513464741242635
AMCR,-0.2420187399346665
AEE,-0.04590493106179816
AAL,-0.5733944378197586
AEP,-0.14790693929555798
AXP,-0.30993060541722695
AIG,-0.5216030814627379
AMT,-0.052519444551274
AWK,-0.02316458968074253
AMP,-0.38144139007919675
ABC,0.04551630045856081
AME,-0.27623618235675584
AMGN,-0.15307148025443773
APH,-0.32449770782789256
ADI,-0.24152950136611595
ANSS,-0.09688824109985428
ANTM,-0.24548887217962645
AON,-0.20605265490593527
AOS,-0.20201695226531502
APA,-0.835395325161953
AIV,-0.3142600217349931
AAPL,-0.1319819691773173
AMAT,-0.2469791993248449
APTV,-0.4802017971450726
ADM,-0.23502124086684073
ANET,-0.004178912613035268
AJG,-0.14043032628906293
AIZ,-0.20235516488098015
T,-0.2441103013546908
ATO,-0.10861013923473295
ADSK,-0.1491333238897129
ADP,-0.19339869817961086
AZO,-0.2898574190583578
AVB,-0.29115559358054566
AVY,-0.21751468096717086
BKR,-0.5869976592114095
BLL,0.0019325788223476525
BAC,-0.393371355126959
BK,-0.32637547418878066
BAX,-0.026599413524934223
BDX,-0.15236374754956683
BRK-B,-0.19280352406181023
BBY,-0.34482334786172697
BIO,-0.05261735876318363
BIIB,0.06622179480187462
BLK,-0.11814578156216105
BA,-0.5394544248139166
BKNG,-0.3449382542489836
BWA,-0.43508092730206527
BXP,-0.32392597528836753
BSX,-0.27841662561547365
BMY,-0.12550981964170083
AVGO,-0.23697806623066298
BR,-0.22812680072671643
BF-B,-0.17652832243050354
CHRW,-0.1473095991628821
COG,-0.006195705429591136
CDNS,-0.04786620041524825
CPB,-0.05917713748300135
COF,-0.5081568690515081
CAH,-0.0426886439989681
KMX,-0.3859928943352001
CCL,-0.7378770358979041
CTLT,-0.07726462768598785
CAT,-0.20873538605582487
CBOE,-0.2540348604169439
CBRE,-0.38472836492168216
CDW,-0.34517350081262776
CE,-0.40055143603889776
CNC,-0.0550341838537709
CNP,-0.4273104530977895
CERN,-0.14170861211154595
CF,-0.4261095613174265
SCHW,-0.29043087384045974
CHTR,-0.10054009719476642
CVX,-0.39169442986337577
CMG,-0.21826279005941485
CB,-0.2770420731295372
CHD,-0.08480196048989308
CI,-0.13337457119916885
CINF,-0.27692830592426054
CTAS,-0.3562509289851754
CSCO,-0.174333116687571
C,-0.46927944272744804
CFG,-0.532023284404095
CTXS,0.28044453981255546
CLX,0.13589760835750653
CME,-0.13515188500535658
CMS,-0.059434959503704254
KO,-0.19353079503823734
CTSH,-0.2483499729356372
CL,-0.030175762846216037
CMCSA,-0.22686889174835934
CMA,-0.583635236734504
CAG,-0.13757443254602164
CXO,-0.5092455423749351
COP,-0.5230202276465639
ED,-0.1307842481881708
STZ,-0.24164052884456433
COO,-0.14191824917313467
CPRT,-0.24653623486311393
GLW,-0.28819866536800764
CTVA,-0.20118892074371408
COST,-0.027860851776093987
CCI,0.02381399316130639
CSX,-0.2053826526974638
CMI,-0.2379006984551928
CVS,-0.1959834576455013
DHI,-0.3535834933374731
DHR,-0.09693156692112836
DRI,-0.49652117293684284
DVA,0.013727826159508849
DE,-0.1980747929533161
DAL,-0.5087695415778294
XRAY,-0.31187029195981963
DVN,-0.7310455362668374
DXCM,0.2310047646954092
FANG,-0.7161379386110678
DLR,0.1692328975663706
DFS,-0.5769922961385039
DISCA,-0.40623092448173637
DISCK,-0.4247293849684407
DISH,-0.4364251738810625
DG,-0.029865168131866127
DLTR,-0.21881978907601962
D,-0.11880433451333694
DPZ,0.10569693146711212
DOV,-0.26842353270701436
DOW,-0.45691014368765337
DTE,-0.26051462332861597
DUK,-0.10461403987147833
DRE,-0.06021789954265011
DD,-0.4654541217484436
DXC,-0.6459747885976257
EMN,-0.4030235804359763
ETN,-0.17263437783067848
EBAY,-0.1637250922083454
ECL,-0.19043580993855602
EIX,-0.2649676915997935
EW,-0.19147845156146437
EA,-0.06827275375897324
EMR,-0.370992705548167
ETR,-0.21008129607330905
EOG,-0.5697270652787894
EFX,-0.14530701921208466
EQIX,0.07445049300363893
EQR,-0.22973168515832987
ESS,-0.2612498605326026
EL,-0.2265658832961257
ETSY,-0.13227992574566017
EVRG,-0.14824133099710923
ES,-0.07502757711872887
RE,-0.30032212541373327
EXC,-0.18640079999627146
EXPE,-0.4777226936466613
EXPD,-0.14483464581922978
EXR,-0.08479856112326623
XOM,-0.4480493835090774
FFIV,-0.2364482494975605
FB,-0.18733250621193664
FAST,-0.14833172118357485
FRT,-0.4145247149152933
FDX,-0.1940368925459317
FIS,-0.12315009672961497
FITB,-0.5091890490438213
FE,-0.16927321871656942
FRC,-0.29827307656155566
FISV,-0.17850038849737138
FLT,-0.35166136340194065
FLIR,-0.38499330526487585
FLS,-0.5157813659293542
FMC,-0.17690017821761772
F,-0.47181260741593667
FTNT,-0.052360470120297986
FTV,-0.2768076802974414
