Close,Date,Ticker
53.7288932800293,2020-03-31,XLP
66.79000091552734,2020-11-11,XLP
28.22766876220703,2020-03-31,XLE
33.779998779296875,2020-11-11,XLE
20.574865341186523,2020-03-31,XLF
27.040000915527344,2020-11-11,XLF
87.85699462890625,2020-03-31,XLV
111.12999725341797,2020-11-11,XLV
58.52172088623047,2020-03-31,XLI
84.87000274658203,2020-11-11,XLI
79.97196960449219,2020-03-31,XLK
121.26000213623047,2020-11-11,XLK
44.58395004272461,2020-03-31,XLB
69.30000305175781,2020-11-11,XLB
44.057586669921875,2020-03-31,XLC
63.529998779296875,2020-11-11,XLC
30.57916259765625,2020-03-31,XLRE
37.04999923706055,2020-11-11,XLRE
54.4826545715332,2020-03-31,XLU
66.51000213623047,2020-11-11,XLU
255.5975799560547,2020-03-31,SPY
356.6700134277344,2020-11-11,SPY
97.64399719238281,2020-03-31,XLY
153.0500030517578,2020-11-11,XLY
